"filename", "language", "JavaScript", "JSON", "CSS", "XML", "Markdown", "HTML", "comment", "blank", "total"
"d:\New folder (3)\Group__Project\frontend\src\component\company\company.js", "JavaScript", 111, 0, 0, 0, 0, 0, 0, 14, 125
"d:\New folder (3)\Group__Project\frontend\src\component\footerNew\footerNew.js", "JavaScript", 123, 0, 0, 0, 0, 0, 0, 21, 144
"d:\New folder (3)\Group__Project\frontend\src\component\footer\footer.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 4, 61
"d:\New folder (3)\Group__Project\frontend\src\component\form\companyAcc\companyAcc.js", "JavaScript", 33, 0, 0, 0, 0, 0, 0, 2, 35
"d:\New folder (3)\Group__Project\frontend\src\component\form\forgotPass\checkMail.js", "JavaScript", 58, 0, 0, 0, 0, 0, 0, 7, 65
"d:\New folder (3)\Group__Project\frontend\src\component\form\forgotPass\resetPass.js", "JavaScript", 97, 0, 0, 0, 0, 0, 0, 10, 107
"d:\New folder (3)\Group__Project\frontend\src\component\form\signin\auth.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 6, 22
"d:\New folder (3)\Group__Project\frontend\src\component\form\signin\form.css", "CSS", 0, 0, 136, 0, 0, 0, 0, 23, 159
"d:\New folder (3)\Group__Project\frontend\src\component\form\signin\form.signin.js", "JavaScript", 81, 0, 0, 0, 0, 0, 1, 13, 95
"d:\New folder (3)\Group__Project\frontend\src\component\form\signup\form.signup.js", "JavaScript", 113, 0, 0, 0, 0, 0, 0, 16, 129
"d:\New folder (3)\Group__Project\frontend\src\component\home.js", "JavaScript", 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\New folder (3)\Group__Project\frontend\src\component\navBar\navBar.js", "JavaScript", 255, 0, 0, 0, 0, 0, 1, 3, 259
"d:\New folder (3)\Group__Project\frontend\src\component\navbarNew\navbarNew.js", "JavaScript", 220, 0, 0, 0, 0, 0, 0, 38, 258
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\addProfileDetails\addProfileDetails.css", "CSS", 0, 0, 34, 0, 0, 0, 0, 13, 47
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\addProfileDetails\addProfileDetails.js", "JavaScript", 208, 0, 0, 0, 0, 0, 0, 16, 224
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\profileView\profileView.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 28, 75
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\profileView\profileView.js", "JavaScript", 92, 0, 0, 0, 0, 0, 0, 5, 97
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\updateProfileDetails\updateProfileDetail.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 29, 76
"d:\New folder (3)\Group__Project\frontend\src\component\seller\merchant\updateProfileDetails\updateProfileDetail.js", "JavaScript", 214, 0, 0, 0, 0, 0, 0, 11, 225
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\prodAddForm\prodAddForm.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 8, 54
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\prodAddForm\prodAddForm.js", "JavaScript", 207, 0, 0, 0, 0, 0, 0, 19, 226
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productView\productView.css", "CSS", 0, 0, 47, 0, 0, 0, 0, 30, 77
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productView\productView.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 7, 95
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productupdate\productUpdateForm.css", "CSS", 0, 0, 46, 0, 0, 0, 0, 10, 56
"d:\New folder (3)\Group__Project\frontend\src\component\seller\product\productupdate\productUpdateForm.js", "JavaScript", 211, 0, 0, 0, 0, 0, 0, 14, 225
"d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebar.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\New folder (3)\Group__Project\frontend\src\component\sidebar\sidebarData.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 2
"d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\product.css", "CSS", 0, 0, 111, 0, 0, 0, 0, 29, 140
"d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\product.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 7, 80
"d:\New folder (3)\Group__Project\frontend\src\component\user\shopping\products.js", "JavaScript", 81, 0, 0, 0, 0, 0, 0, 9, 90
"d:\New folder (3)\Group__Project\frontend\src\firebase.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"d:\New folder (3)\Group__Project\frontend\src\index.css", "CSS", 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\New folder (3)\Group__Project\frontend\src\index.js", "JavaScript", 13, 0, 0, 0, 0, 0, 3, 4, 20
"d:\New folder (3)\Group__Project\frontend\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\New folder (3)\Group__Project\frontend\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\New folder (3)\Group__Project\frontend\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 3776, 32880, 1717, 1, 38, 31, 154, 777, 39374
